,sample,date.sampled,date.measured,absorbance.1,absorbance.2,species,temp,rep,notes,error_code,evap_volume,evap_relevant
395,2-31-5,2017-04-25,2017-06-29,0.026,0.024,2,31,5,,,19.27272727,evap
302,1-38-1,2017-04-25,2017-06-29,0.028,0.026,1,38,1,,,18.15517241,evap
326,1-38-2,2017-04-25,2017-06-29,0.043,0.043,1,38,2,,,18.15517241,evap
350,1-38-3,2017-04-25,2017-06-29,0.039,0.038,1,38,3,,,18.15517241,evap
374,1-38-4,2017-04-25,2017-06-29,0.034,0.035,1,38,4,,,18.15517241,evap
398,1-38-5,2017-04-25,2017-06-29,0.022,0.02,1,38,5,,vis_outlier,18.29310345,evap
303,2-38-1,2017-04-25,2017-06-29,0.021,0.023,2,38,1,,,18.32,evap
327,2-38-2,2017-04-25,2017-06-29,0.025,0.026,2,38,2,,,18.95,evap
351,2-38-3,2017-04-25,2017-06-29,0.027,0.024,2,38,3,,,18.5,evap
375,2-38-4,2017-04-25,2017-06-29,0.028,0.027,2,38,4,,,18.32,evap
399,2-38-5,2017-04-25,2017-06-29,0.024,0.024,2,38,5,,,18.5,evap
284,2003-03-01,2017-04-28,2017-06-29,0.032,0.032,3,3,1,,,,
308,2003-03-02,2017-04-28,2017-06-29,0.042,0.039,3,3,2,,,,
332,2003-03-03,2017-04-28,2017-06-29,0.038,0.034,3,3,3,,,,
356,2003-03-04,2017-04-28,2017-06-29,0.039,0.04,3,3,4,,,,
380,2003-03-05,2017-04-28,2017-06-29,0.032,0.031,3,3,5,,,,
285,2004-03-01,2017-04-28,2017-06-29,0.032,0.03,4,3,1,,,,
309,2004-03-02,2017-04-28,2017-06-29,0.047,0.046,4,3,2,,,,
333,2004-03-03,2017-04-28,2017-06-29,0,0,4,3,3,,nitrate_sample_lost,,
357,2004-03-04,2017-04-28,2017-06-29,0.045,0.042,4,3,4,,,,
381,2004-03-05,2017-04-28,2017-06-29,0.056,0.054,4,3,5,flowcammed after medium added,,,
288,2003-10-01,2017-04-28,2017-06-29,0.011,0.011,3,10,1,,,,
312,2003-10-02,2017-04-28,2017-06-29,0.039,0.036,3,10,2,,,,
336,2003-10-03,2017-04-28,2017-06-29,0.024,0.023,3,10,3,,,,
360,2003-10-04,2017-04-28,2017-06-29,0.033,0.037,3,10,4,floatie in sample,floatie,,
384,2003-10-05,2017-04-28,2017-06-29,0.014,0.011,3,10,5,,,,
289,2004-10-01,2017-04-28,2017-06-29,0.048,0.047,4,10,1,,,,
313,2004-10-02,2017-04-28,2017-06-29,0.017,0.021,4,10,2,,,,
337,2004-10-03,2017-04-28,2017-06-29,0.036,0.033,4,10,3,,,,
361,2004-10-04,2017-04-28,2017-06-29,0.022,0.018,4,10,4,,,,
385,2004-10-05,2017-04-28,2017-06-29,0.006,0,4,10,5,,,,
292,3-17-1,2017-04-28,2017-06-29,NA,NA,3,17,1,,,,
316,3-17-2,2017-04-28,2017-06-29,0.007,0.007,3,17,2,,,,
340,3-17-3,2017-04-28,2017-06-29,0.021,0.021,3,17,3,,,,
364,3-17-4,2017-04-28,2017-06-29,0.018,0.018,3,17,4,,,,
388,3-17-5,2017-04-28,2017-06-29,0.007,0.007,3,17,5,,,,
293,4-17-1,2017-04-28,2017-06-29,0.134,0.136,4,17,1,0.5ml,remove_low_vol,,
317,4-17-2,2017-04-28,2017-06-29,0.014,0.013,4,17,2,,,,
341,4-17-3,2017-04-28,2017-06-29,0.024,0.019,4,17,3,,,,
365,4-17-4,2017-04-28,2017-06-29,0.011,0.012,4,17,4,0.5ml,low_vol,,
389,4-17-5,2017-04-28,2017-06-29,0.01,0.01,4,17,5,,,,
296,3-24-1,2017-04-28,2017-06-29,0.019,0.018,3,24,1,,,19.26315789,evap
320,3-24-2,2017-04-28,2017-06-29,0.043,0.042,3,24,2,0.5ml,low_vol,19.26315789,evap
344,3-24-3,2017-04-28,2017-06-29,0.012,0.013,3,24,3,0.5ml,low_vol,19.26315789,evap
368,3-24-4,2017-04-28,2017-06-29,0.024,0.023,3,24,4,,,19.26315789,evap
392,3-24-5,2017-04-28,2017-06-29,0.043,0.042,3,24,5,,,19.26315789,evap
297,4-24-1,2017-04-28,2017-06-29,0.02,0.021,4,24,1,,,19.26315789,evap
321,4-24-2,2017-04-28,2017-06-29,0.009,0.013,4,24,2,,,19.26315789,evap
345,4-24-3,2017-04-28,2017-06-29,0.03,0.026,4,24,3,,,19.26315789,evap
369,4-24-4,2017-04-28,2017-06-29,0.009,0.013,4,24,4,,,19.26315789,evap
393,4-24-5,2017-04-28,2017-06-29,0.012,0.01,4,24,5,,,19.26315789,evap
300,3-31-1,2017-04-28,2017-06-29,0.029,0.029,3,31,1,,,18.16,evap
324,3-31-2,2017-04-28,2017-06-29,0.034,0.034,3,31,2,,,18.16,evap
348,3-31-3,2017-04-28,2017-06-29,0.039,0.039,3,31,3,,,18.16,evap
372,3-31-4,2017-04-28,2017-06-29,0.03,0.034,3,31,4,,,18.16,evap
396,3-31-5,2017-04-28,2017-06-29,0.031,0.028,3,31,5,,,18.16,evap
301,4-31-1,2017-04-28,2017-06-29,0.016,0.022,4,31,1,,,18.65789474,evap
325,4-31-2,2017-04-28,2017-06-29,0.025,0.026,4,31,2,,,18.65789474,evap
349,4-31-3,2017-04-28,2017-06-29,0.023,0.022,4,31,3,,,18.65789474,evap
373,4-31-4,2017-04-28,2017-06-29,0.02,0.016,4,31,4,,,18.65789474,evap
397,4-31-5,2017-04-28,2017-06-29,0.084,0.084,4,31,5,,,18.65789474,evap
304,3-38-1,2017-04-28,2017-06-29,0.018,0.018,3,38,1,,,19.68421053,evap
328,3-38-2,2017-04-28,2017-06-29,0.037,0.039,3,38,2,,,19.81578947,evap
352,3-38-3,2017-04-28,2017-06-29,0.031,0.029,3,38,3,,,19.81578947,evap
376,3-38-4,2017-04-28,2017-06-29,0.034,0.031,3,38,4,,,19.68421053,evap
400,3-38-5,2017-04-28,2017-06-29,0.026,0.025,3,38,5,,,19.81578947,evap
305,4-38-1,2017-04-28,2017-06-29,0.024,0.018,4,38,1,,,19.55263158,evap
329,4-38-2,2017-04-28,2017-06-29,0.064,0.064,4,38,2,,,19.55263158,evap
353,4-38-3,2017-04-28,2017-06-29,0.049,0.047,4,38,3,,,19.55263158,evap
377,4-38-4,2017-04-28,2017-06-29,0.054,0.051,4,38,4,,,19.55263158,evap
401,4-38-5,2017-04-28,2017-06-29,0.011,0.008,4,38,5,,,19.55263158,evap
403,2001-03-01,2017-05-02,2017-06-30,0.043,0.045,1,3,1,,,,
427,2001-03-02,2017-05-02,2017-06-30,0.055,0.056,1,3,2,,,,
451,2001-03-03,2017-05-02,2017-06-30,0.039,0.037,1,3,3,,,,
475,2001-03-04,2017-05-02,2017-06-30,0.046,0.042,1,3,4,,,,
499,2001-03-05,2017-05-02,2017-06-30,0.025,0.024,1,3,5,,,,
404,2002-03-01,2017-05-02,2017-06-30,0.054,0.055,2,3,1,,,,
428,2002-03-02,2017-05-02,2017-06-30,0.079,0.084,2,3,2,,,,
452,2002-03-03,2017-05-02,2017-06-30,0.058,0.056,2,3,3,,,,
476,2002-03-04,2017-05-02,2017-06-30,0.054,0.056,2,3,4,,,,
500,2002-03-05,2017-05-02,2017-06-30,0.057,0.057,2,3,5,,,,
407,2001-10-01,2017-05-02,2017-06-30,0.02,0.023,1,10,1,,,,
431,2001-10-02,2017-05-02,2017-06-30,0.029,0.033,1,10,2,,,,
455,2001-10-03,2017-05-02,2017-06-30,0.036,0.036,1,10,3,,,,
479,2001-10-04,2017-05-02,2017-06-30,0.027,0.026,1,10,4,,,,
503,2001-10-05,2017-05-02,2017-06-30,0.034,0.034,1,10,5,,,,
408,2002-10-01,2017-05-02,2017-06-30,0.041,0.042,2,10,1,,,,
432,2002-10-02,2017-05-02,2017-06-30,0.032,0.036,2,10,2,,,,
456,2002-10-03,2017-05-02,2017-06-30,0.033,0.038,2,10,3,,,,
480,2002-10-04,2017-05-02,2017-06-30,0.033,0.037,2,10,4,contaminated,contaminated,,
504,2002-10-05,2017-05-02,2017-06-30,0.027,0.034,2,10,5,,,,
411,1-17-1,2017-05-02,2017-06-30,0.034,0.032,1,17,1,,,,
435,1-17-2,2017-05-02,2017-06-30,0.033,0.03,1,17,2,,,,
459,1-17-3,2017-05-02,2017-06-30,0.03,0.032,1,17,3,,,,
483,1-17-4,2017-05-02,2017-06-30,0.028,0.029,1,17,4,,,,
507,1-17-5,2017-05-02,2017-06-30,0.033,0.031,1,17,5,,,,
412,2-17-1,2017-05-02,2017-06-30,0.031,0.029,2,17,1,,,,
436,2-17-2,2017-05-02,2017-06-30,0.029,0.029,2,17,2,,,,
460,2-17-3,2017-05-02,2017-06-30,0.031,0.033,2,17,3,,,,
484,2-17-4,2017-05-02,2017-06-30,0.025,0.022,2,17,4,,,,
508,2-17-5,2017-05-02,2017-06-30,0.048,0.046,2,17,5,,,,
415,1-24-1,2017-05-02,2017-06-30,0.037,0.038,1,24,1,,,17.5862069,evap
439,1-24-2,2017-05-02,2017-06-30,0.033,0.034,1,24,2,,,17.5862069,evap
463,1-24-3,2017-05-02,2017-06-30,0.034,0.031,1,24,3,,,17.5862069,evap
487,1-24-4,2017-05-02,2017-06-30,0.031,0.027,1,24,4,,,17.5862069,evap
511,1-24-5,2017-05-02,2017-06-30,0.029,0.028,1,24,5,,,17.5862069,evap
416,2-24-1,2017-05-02,2017-06-30,0.046,0.036,2,24,1,,,18.09090909,evap
440,2-24-2,2017-05-02,2017-06-30,0.035,0.035,2,24,2,,,18.09090909,evap
464,2-24-3,2017-05-02,2017-06-30,0.032,0.026,2,24,3,0.5ml,low_vol,18.09090909,evap
488,2-24-4,2017-05-02,2017-06-30,0.029,0.026,2,24,4,,,18.09090909,evap
512,2-24-5,2017-05-02,2017-06-30,0.079,0.083,2,24,5,,,18.09090909,evap
419,1-31-1,2017-05-02,2017-06-30,0.051,0.054,1,31,1,,,18.15517241,evap
443,1-31-2,2017-05-02,2017-06-30,0.056,0.057,1,31,2,,,18.15517241,evap
467,1-31-3,2017-05-02,2017-06-30,0.106,0.107,1,31,3,,vis_outlier,18.15517241,evap
491,1-31-4,2017-05-02,2017-06-30,0.083,0.088,1,31,4,,vis_outlier,18.15517241,evap
515,1-31-5,2017-05-02,2017-06-30,0.045,0.044,1,31,5,,,18.15517241,evap
420,2-31-1,2017-05-02,2017-06-30,0.047,0.05,2,31,1,,,18.15909091,evap
444,2-31-2,2017-05-02,2017-06-30,0.046,0.048,2,31,2,,,18.15909091,evap
468,2-31-3,2017-05-02,2017-06-30,0.046,0.047,2,31,3,,,18.15909091,evap
492,2-31-4,2017-05-02,2017-06-30,0.04,0.029,2,31,4,,,18.15909091,evap
516,2-31-5,2017-05-02,2017-06-30,0.038,0.038,2,31,5,,,18.15909091,evap
423,1-38-1,2017-05-02,2017-06-30,0.042,0.043,1,38,1,,,18.70689655,evap
447,1-38-2,2017-05-02,2017-06-30,0.044,0.042,1,38,2,,,18.70689655,evap
471,1-38-3,2017-05-02,2017-06-30,0.048,0.047,1,38,3,,,18.70689655,evap
495,1-38-4,2017-05-02,2017-06-30,0.043,0.042,1,38,4,,,18.70689655,evap
519,1-38-5,2017-05-02,2017-06-30,0.032,0.029,1,38,5,,,18.72413793,evap
424,2-38-1,2017-05-02,2017-06-30,0.04,0.043,2,38,1,,,18.73,evap
448,2-38-2,2017-05-02,2017-06-30,0.04,0.04,2,38,2,,,18.68,evap
472,2-38-3,2017-05-02,2017-06-30,0.046,0.038,2,38,3,,,18.75,evap
496,2-38-4,2017-05-02,2017-06-30,0.064,0.062,2,38,4,,vis_outlier,18.73,evap
520,2-38-5,2017-05-02,2017-06-30,0.031,0.034,2,38,5,,,18.75,evap
405,2003-03-01,2017-05-05,2017-06-30,0.064,0.062,3,3,1,,,,
429,2003-03-02,2017-05-05,2017-06-30,0.075,0.074,3,3,2,,,,
453,2003-03-03,2017-05-05,2017-06-30,0.058,0.059,3,3,3,,,,
477,2003-03-04,2017-05-05,2017-06-30,0.051,0.05,3,3,4,,,,
501,2003-03-05,2017-05-05,2017-06-30,0.05,0.054,3,3,5,,,,
406,2004-03-01,2017-05-05,2017-06-30,0.023,0.027,4,3,1,,,,
430,2004-03-02,2017-05-05,2017-06-30,0.037,0.039,4,3,2,,,,
454,2004-03-03,2017-05-05,2017-06-30,0.039,0.037,4,3,3,,,,
478,2004-03-04,2017-05-05,2017-06-30,0.045,0.036,4,3,4,,,,
502,2004-03-05,2017-05-05,2017-06-30,0.041,0.037,4,3,5,,,,
409,2003-10-01,2017-05-05,2017-06-30,0.027,0.029,3,10,1,,,,
433,2003-10-02,2017-05-05,2017-06-30,0.04,0.04,3,10,2,,,,
457,2003-10-03,2017-05-05,2017-06-30,0.047,0.045,3,10,3,,,,
481,2003-10-04,2017-05-05,2017-06-30,0.037,0.036,3,10,4,,,,
505,2003-10-05,2017-05-05,2017-06-30,0.031,0.048,3,10,5,,,,
410,2004-10-01,2017-05-05,2017-06-30,0.033,0.033,4,10,1,,,,
434,2004-10-02,2017-05-05,2017-06-30,0.096,0.09,4,10,2,,vis_outlier,,
458,2004-10-03,2017-05-05,2017-06-30,0.036,0.037,4,10,3,,,,
482,2004-10-04,2017-05-05,2017-06-30,0.022,0.017,4,10,4,,,,
506,2004-10-05,2017-05-05,2017-06-30,0.042,0.038,4,10,5,,,,
413,3-17-1,2017-05-05,2017-06-30,0.034,0.031,3,17,1,,,,
437,3-17-2,2017-05-05,2017-06-30,0.021,0.022,3,17,2,,,,
461,3-17-3,2017-05-05,2017-06-30,0.026,0.027,3,17,3,,,,
485,3-17-4,2017-05-05,2017-06-30,0.037,0.037,3,17,4,,,,
509,3-17-5,2017-05-05,2017-06-30,0.029,0.026,3,17,5,,,,
414,4-17-1,2017-05-05,2017-06-30,0.028,0.031,4,17,1,,,,
438,4-17-2,2017-05-05,2017-06-30,0.025,0.027,4,17,2,,,,
462,4-17-3,2017-05-05,2017-06-30,0.027,0.03,4,17,3,,,,
486,4-17-4,2017-05-05,2017-06-30,0.027,0.025,4,17,4,,,,
510,4-17-5,2017-05-05,2017-06-30,0.034,0.028,4,17,5,,,,
417,3-24-1,2017-05-05,2017-06-30,0.032,0.032,3,24,1,,,19.89473684,evap
441,3-24-2,2017-05-05,2017-06-30,0.027,0.026,3,24,2,,,19.89473684,evap
465,3-24-3,2017-05-05,2017-06-30,0.041,0.038,3,24,3,,,19.89473684,evap
489,3-24-4,2017-05-05,2017-06-30,0.024,0.024,3,24,4,,,19.89473684,evap
513,3-24-5,2017-05-05,2017-06-30,0.055,0.053,3,24,5,,,19.89473684,evap
418,4-24-1,2017-05-05,2017-06-30,0.023,0.026,4,24,1,,,19.89473684,evap
442,4-24-2,2017-05-05,2017-06-30,0.027,0.028,4,24,2,,,19.89473684,evap
466,4-24-3,2017-05-05,2017-06-30,0.028,0.029,4,24,3,,,19.89473684,evap
490,4-24-4,2017-05-05,2017-06-30,0.028,0.028,4,24,4,,,19.89473684,evap
514,4-24-5,2017-05-05,2017-06-30,0.029,0.031,4,24,5,,,19.89473684,evap
421,3-31-1,2017-05-05,2017-06-30,0.046,0.046,3,31,1,,,19.74,evap
445,3-31-2,2017-05-05,2017-06-30,0.054,0.052,3,31,2,,,19.74,evap
469,3-31-3,2017-05-05,2017-06-30,0.046,0.044,3,31,3,,,19.74,evap
493,3-31-4,2017-05-05,2017-06-30,0.037,0.033,3,31,4,,,19.74,evap
517,3-31-5,2017-05-05,2017-06-30,0.049,0.043,3,31,5,,,19.74,evap
422,4-31-1,2017-05-05,2017-06-30,0.043,0.035,4,31,1,,,19.73684211,evap
446,4-31-2,2017-05-05,2017-06-30,0.079,0.076,4,31,2,,,19.73684211,evap
470,4-31-3,2017-05-05,2017-06-30,0.043,0.048,4,31,3,0.5ml,low_vol,19.73684211,evap
494,4-31-4,2017-05-05,2017-06-30,0.032,0.032,4,31,4,,,19.73684211,evap
518,4-31-5,2017-05-05,2017-06-30,0.023,0.024,4,31,5,,,19.73684211,evap
425,3-38-1,2017-05-05,2017-06-30,0.029,0.029,3,38,1,,,19.52631579,evap
449,3-38-2,2017-05-05,2017-06-30,0.048,0.049,3,38,2,,,19.47368421,evap
473,3-38-3,2017-05-05,2017-06-30,0.033,0.034,3,38,3,,,19.47368421,evap
497,3-38-4,2017-05-05,2017-06-30,0.042,0.042,3,38,4,,,19.52631579,evap
521,3-38-5,2017-05-05,2017-06-30,0.043,0.05,3,38,5,,,19.47368421,evap
426,4-38-1,2017-05-05,2017-06-30,0.057,0.057,4,38,1,,,19.57894737,evap
450,4-38-2,2017-05-05,2017-06-30,0.078,0.079,4,38,2,,,19.57894737,evap
474,4-38-3,2017-05-05,2017-06-30,0.054,0.055,4,38,3,,,19.57894737,evap
498,4-38-4,2017-05-05,2017-06-30,0.071,0.07,4,38,4,,,19.57894737,evap
522,4-38-5,2017-05-05,2017-06-30,0.04,0.038,4,38,5,,,19.57894737,evap
524,2001-03-01,2017-05-09,2017-06-30,0.02,0.016,1,3,1,,,,
536,2001-03-02,2017-05-09,2017-06-30,0.029,0.029,1,3,2,,,,
548,2001-03-03,2017-05-09,2017-06-30,0.048,0.047,1,3,3,,,,
560,2001-03-04,2017-05-09,2017-06-30,0.025,0.025,1,3,4,,,,
572,2001-03-05,2017-05-09,2017-06-30,0.015,0.018,1,3,5,,,,
525,2002-03-01,2017-05-09,2017-06-30,0.034,0.032,2,3,1,,,,
537,2002-03-02,2017-05-09,2017-06-30,0.048,0.047,2,3,2,,,,
549,2002-03-03,2017-05-09,2017-06-30,0.051,0.05,2,3,3,,,,
561,2002-03-04,2017-05-09,2017-06-30,0.036,0.037,2,3,4,,,,
573,2002-03-05,2017-05-09,2017-06-30,0.047,0.044,2,3,5,,,,
526,2001-10-01,2017-05-09,2017-06-30,0.004,0.001,1,10,1,,,,
538,2001-10-02,2017-05-09,2017-06-30,0.011,0.013,1,10,2,,,,
550,2001-10-03,2017-05-09,2017-06-30,0.013,0.018,1,10,3,,,,
562,2001-10-04,2017-05-09,2017-06-30,0.017,0.019,1,10,4,,,,
574,2001-10-05,2017-05-09,2017-06-30,0.036,0.033,1,10,5,,,,
527,2002-10-01,2017-05-09,2017-06-30,0,0.005,2,10,1,,,,
539,2002-10-02,2017-05-09,2017-06-30,0.024,0.026,2,10,2,,,,
551,2002-10-03,2017-05-09,2017-06-30,0.018,0.018,2,10,3,,,,
563,2002-10-04,2017-05-09,2017-06-30,0.023,0.023,2,10,4,contaminated,contaminated,,
575,2002-10-05,2017-05-09,2017-06-30,0.013,0.014,2,10,5,,,,
528,1-17-1,2017-05-09,2017-06-30,0.013,0.006,1,17,1,diluted differently from others on test-tube change,diff_dilution,,
540,1-17-2,2017-05-09,2017-06-30,0.025,0.032,1,17,2,,,,
552,1-17-3,2017-05-09,2017-06-30,0.015,0.014,1,17,3,,,,
564,1-17-4,2017-05-09,2017-06-30,0,0,1,17,4,,,,
576,1-17-5,2017-05-09,2017-06-30,0.008,0.012,1,17,5,,,,
529,2-17-1,2017-05-09,2017-06-30,0.001,0,2,17,1,,,,
541,2-17-2,2017-05-09,2017-06-30,0.02,0.017,2,17,2,0.5 ml,low_vol,,
553,2-17-3,2017-05-09,2017-06-30,0.01,0.013,2,17,3,,,,
565,2-17-4,2017-05-09,2017-06-30,0.018,0.021,2,17,4,,,,
577,2-17-5,2017-05-09,2017-06-30,0.02,0.018,2,17,5,,,,
530,1-24-1,2017-05-09,2017-06-30,0.001,0.001,1,24,1,,,19.48275862,evap
542,1-24-2,2017-05-09,2017-06-30,0.022,0.02,1,24,2,,,19.48275862,evap
554,1-24-3,2017-05-09,2017-06-30,0.034,0.031,1,24,3,,,19.48275862,evap
566,1-24-4,2017-05-09,2017-06-30,0.028,0.029,1,24,4,,,19.48275862,evap
578,1-24-5,2017-05-09,2017-06-30,0.018,0.019,1,24,5,,,19.48275862,evap
531,2-24-1,2017-05-09,2017-06-30,0.002,0.001,2,24,1,,,19.45454545,evap
543,2-24-2,2017-05-09,2017-06-30,0.032,0.03,2,24,2,,,19.45454545,evap
555,2-24-3,2017-05-09,2017-06-30,0.039,0.04,2,24,3,,,19.45454545,evap
567,2-24-4,2017-05-09,2017-06-30,0.017,0.017,2,24,4,,,19.45454545,evap
579,2-24-5,2017-05-09,2017-06-30,0.017,0.016,2,24,5,,,19.45454545,evap
532,1-31-1,2017-05-09,2017-06-30,0.031,0.034,1,31,1,,,19.06896552,evap
544,1-31-2,2017-05-09,2017-06-30,0.047,0.042,1,31,2,,,19.06896552,evap
556,1-31-3,2017-05-09,2017-06-30,0.045,0.049,1,31,3,,,19.06896552,evap
568,1-31-4,2017-05-09,2017-06-30,0.025,0.026,1,31,4,,,19.06896552,evap
580,1-31-5,2017-05-09,2017-06-30,0.042,0.04,1,31,5,,,19.06896552,evap
533,2-31-1,2017-05-09,2017-06-30,0.014,0.018,2,31,1,,,19.04545455,evap
545,2-31-2,2017-05-09,2017-06-30,0.041,0.037,2,31,2,,,19.04545455,evap
557,2-31-3,2017-05-09,2017-06-30,0.036,0.035,2,31,3,,,19.04545455,evap
569,2-31-4,2017-05-09,2017-06-30,0.024,0.023,2,31,4,,,19.04545455,evap
581,2-31-5,2017-05-09,2017-06-30,0.038,0.034,2,31,5,,,19.04545455,evap
534,1-38-1,2017-05-09,2017-06-30,0.051,0.044,1,38,1,,,18.55172414,evap
546,1-38-2,2017-05-09,2017-06-30,0.037,0.041,1,38,2,,,18.55172414,evap
558,1-38-3,2017-05-09,2017-06-30,0.05,0.053,1,38,3,,,18.55172414,evap
570,1-38-4,2017-05-09,2017-06-30,0.028,0.028,1,38,4,,,18.55172414,evap
582,1-38-5,2017-05-09,2017-06-30,0.029,0.028,1,38,5,,,18.43103448,evap
535,2-38-1,2017-05-09,2017-06-30,0.034,0.03,2,38,1,,,18.64,evap
547,2-38-2,2017-05-09,2017-06-30,0.041,0.039,2,38,2,,,18.91,evap
559,2-38-3,2017-05-09,2017-06-30,0.031,0.03,2,38,3,,,18.5,evap
571,2-38-4,2017-05-09,2017-06-30,0.03,0.029,2,38,4,,,18.64,evap
583,2-38-5,2017-05-09,2017-06-30,0.015,0.016,2,38,5,,,18.5,evap
645,2003-03-01,2017-05-12,2017-07-05,0.072,0.067,3,3,1,,,,
657,2003-03-02,2017-05-12,2017-07-05,0.033,0.032,3,3,2,,,,
669,2003-03-03,2017-05-12,2017-07-05,0.065,0.064,3,3,3,,,,
681,2003-03-04,2017-05-12,2017-07-05,0.056,0.057,3,3,4,,,,
693,2003-03-05,2017-05-12,2017-07-05,0.117,0.118,3,3,5,,,,
646,2004-03-01,2017-05-12,2017-07-05,0.079,0.08,4,3,1,,,,
658,2004-03-02,2017-05-12,2017-07-05,0.041,0.039,4,3,2,,,,
670,2004-03-03,2017-05-12,2017-07-05,0.112,0.116,4,3,3,"500 ul, sample was extra volumous, possibly mixed with 4-03-4",low_vol,,
682,2004-03-04,2017-05-12,2017-07-05,0.041,0.04,4,3,4,"flow cam sample very low, liquid oozed around filter",filter_error,,
694,2004-03-05,2017-05-12,2017-07-05,0.037,0.037,4,3,5,,,,
647,2003-10-01,2017-05-12,2017-07-05,0.035,0.035,3,10,1,,,,
659,2003-10-02,2017-05-12,2017-07-05,0.02,0.018,3,10,2,,,,
671,2003-10-03,2017-05-12,2017-07-05,0.027,0.027,3,10,3,,,,
683,2003-10-04,2017-05-12,2017-07-05,0.082,0.082,3,10,4,,vis_outlier,,
695,2003-10-05,2017-05-12,2017-07-05,0.024,0.024,3,10,5,,,,
648,2004-10-01,2017-05-12,2017-07-05,0.028,0.027,4,10,1,,,,
660,2004-10-02,2017-05-12,2017-07-05,0.02,0.02,4,10,2,,,,
672,2004-10-03,2017-05-12,2017-07-05,0.036,0.034,4,10,3,,,,
684,2004-10-04,2017-05-12,2017-07-05,0.051,0.051,4,10,4,,,,
696,2004-10-05,2017-05-12,2017-07-05,0.159,0.159,4,10,5,,vis_outlier,,
649,3-17-1,2017-05-12,2017-07-05,0.02,0.02,3,17,1,,,,
661,3-17-2,2017-05-12,2017-07-05,0.04,0.036,3,17,2,,,,
673,3-17-3,2017-05-12,2017-07-05,0.05,0.05,3,17,3,,,,
685,3-17-4,2017-05-12,2017-07-05,0.026,0.025,3,17,4,,,,
697,3-17-5,2017-05-12,2017-07-05,0.044,0.043,3,17,5,,,,
650,4-17-1,2017-05-12,2017-07-05,0.016,0.016,4,17,1,,,,
662,4-17-2,2017-05-12,2017-07-05,0.067,0.066,4,17,2,,,,
674,4-17-3,2017-05-12,2017-07-05,0.026,0.03,4,17,3,,,,
686,4-17-4,2017-05-12,2017-07-05,0.03,0.029,4,17,4,,,,
698,4-17-5,2017-05-12,2017-07-05,0.048,0.045,4,17,5,,,,
651,3-24-1,2017-05-12,2017-07-05,0.016,0.016,3,24,1,,,19.52631579,evap
663,3-24-2,2017-05-12,2017-07-05,0.035,0.03,3,24,2,,,19.52631579,evap
675,3-24-3,2017-05-12,2017-07-05,0.021,0.023,3,24,3,,,19.52631579,evap
687,3-24-4,2017-05-12,2017-07-05,0.034,0.031,3,24,4,,,19.52631579,evap
699,3-24-5,2017-05-12,2017-07-05,0.046,0.046,3,24,5,,,19.52631579,evap
652,4-24-1,2017-05-12,2017-07-05,0.046,0.047,4,24,1,,,19.52631579,evap
664,4-24-2,2017-05-12,2017-07-05,0.044,0.043,4,24,2,,,19.52631579,evap
676,4-24-3,2017-05-12,2017-07-05,0.019,0.021,4,24,3,,,19.52631579,evap
688,4-24-4,2017-05-12,2017-07-05,0.028,0.027,4,24,4,,,19.52631579,evap
700,4-24-5,2017-05-12,2017-07-05,0.048,0.052,4,24,5,650 ul,remove_low_vol,19.52631579,evap
653,3-31-1,2017-05-12,2017-07-05,0.024,0.027,3,31,1,,,18.82,evap
665,3-31-2,2017-05-12,2017-07-05,0.057,0.057,3,31,2,,,18.82,evap
677,3-31-3,2017-05-12,2017-07-05,0.058,0.057,3,31,3,,,18.82,evap
689,3-31-4,2017-05-12,2017-07-05,0.067,0.068,3,31,4,,,18.82,evap
701,3-31-5,2017-05-12,2017-07-05,0.047,0.047,3,31,5,,,18.82,evap
654,4-31-1,2017-05-12,2017-07-05,0.016,0.016,4,31,1,650 ul,low_vol,18.81578947,evap
666,4-31-2,2017-05-12,2017-07-05,0.055,0.055,4,31,2,,,18.81578947,evap
678,4-31-3,2017-05-12,2017-07-05,0.072,0.072,4,31,3,,,18.81578947,evap
690,4-31-4,2017-05-12,2017-07-05,0.022,0.022,4,31,4,,,18.81578947,evap
702,4-31-5,2017-05-12,2017-07-05,0.051,0.051,4,31,5,,,18.81578947,evap
655,3-38-1,2017-05-12,2017-07-05,0.033,0.033,3,38,1,,,17.86842105,evap
667,3-38-2,2017-05-12,2017-07-05,0.056,0.052,3,38,2,,,17.63157895,evap
679,3-38-3,2017-05-12,2017-07-05,0.029,0.031,3,38,3,,,17.63157895,evap
691,3-38-4,2017-05-12,2017-07-05,0.073,0.071,3,38,4,,,17.86842105,evap
703,3-38-5,2017-05-12,2017-07-05,0.073,0.072,3,38,5,,,17.63157895,evap
656,4-38-1,2017-05-12,2017-07-05,0.02,0.022,4,38,1,,,18.10526316,evap
668,4-38-2,2017-05-12,2017-07-05,0.093,0.092,4,38,2,,,18.10526316,evap
680,4-38-3,2017-05-12,2017-07-05,0.079,0.078,4,38,3,,,18.10526316,evap
692,4-38-4,2017-05-12,2017-07-05,0.083,0.082,4,38,4,,,18.10526316,evap
704,4-38-5,2017-05-12,2017-07-05,0.061,0.06,4,38,5,,,18.10526316,evap
706,2001-03-01,2017-05-16,2017-07-06,0.019,0.015,1,3,1,,,,
718,2001-03-02,2017-05-16,2017-07-06,0.026,0.029,1,3,2,,,,
